Rk;Player;Nacionalidad;Posicion;Equipo;Competicion;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;;CrdY;CrdR
1;Max Aarons;eng ENG;DF;Bournemouth;eng Premier League;23;2000;20;13;1237;13.7;0;1;1;0;0;;1;0
2;Brenden Aaronson;us USA;MF,FW;Union Berlin;de Bundesliga;22;2000;30;14;1267;14.1;2;2;4;2;0;;3;1
3;Paxten Aaronson;us USA;MF;Eint Frankfurt;de Bundesliga;19;2003;7;1;101;1.1;0;1;1;0;0;;0;0
4;Keyliane Abdallah;fr FRA;FW;Marseille;fr Ligue 1;17;2006;1;0;4;0.0;0;0;0;0;0;;0;0
5;Yunis Abdelhamid;ma MAR;DF;Reims;fr Ligue 1;35;1987;31;31;2781;30.9;4;0;4;3;1;;5;0
6;Salis Abdul Samed;gh GHA;MF;Lens;fr Ligue 1;23;2000;27;17;1519;16.9;0;0;0;0;0;;2;0
7;Nabil Aberdin;fr FRA;DF;Getafe;es La Liga;20;2002;2;2;180;2.0;0;0;0;0;0;;0;0
8;Laurent Abergel;fr FRA;MF;Lorient;fr Ligue 1;30;1993;33;32;2860;31.8;2;1;3;2;0;;4;0
9;Matthis Abline;fr FRA;FW;Nantes;fr Ligue 1;20;2003;22;12;1044;11.6;5;0;5;5;0;;1;0
10;Abner;br BRA;DF;Betis;es La Liga;23;2000;23;15;1400;15.6;0;1;1;0;0;;3;0
11;Zakaria Aboukhlal;ma MAR;MF,FW;Toulouse;fr Ligue 1;23;2000;13;9;754;8.4;3;0;3;2;1;;2;0
12;Abdel Abqar;ma MAR;DF;Alavés;es La Liga;24;1999;27;27;2312;25.7;0;0;0;0;0;;10;0
13;Tammy Abraham;eng ENG;FW;Roma;it Serie A;25;1997;8;2;242;2.7;1;0;1;1;0;;1;0
14;Francesco Acerbi;it ITA;DF;Inter;it Serie A;35;1988;29;26;2388;26.5;3;1;4;3;0;;1;0
15;Joshua Acheampong;eng ENG;DF;Chelsea;eng Premier League;17;2006;1;0;6;0.1;0;0;0;0;0;;0;0
16;Marcos Acuña;ar ARG;DF;Sevilla;es La Liga;31;1991;21;18;1292;14.4;1;2;3;1;0;;7;0
17;Bénie Adama Traore;ci CIV;FW,MF;Sheffield Utd;eng Premier League;20;2002;8;3;387;4.3;0;0;0;0;0;;0;0
18;Bénie Adama Traore;ci CIV;FW,MF;Nantes;fr Ligue 1;20;2002;14;4;504;5.6;0;1;1;0;0;;1;1
19;Akor Adams;ng NGA;FW;Montpellier;fr Ligue 1;23;2000;32;27;2252;25.0;8;1;9;8;0;;2;0
20;Tyler Adams;us USA;MF;Bournemouth;eng Premier League;24;1999;3;1;121;1.3;0;0;0;0;0;;0;0
21;Junior Adamu;at AUT;FW,MF;Freiburg;de Bundesliga;22;2001;15;0;105;1.2;0;0;0;0;0;;0;0
22;Sargis Adamyan;am ARM;FW,MF;Köln;de Bundesliga;30;1993;20;8;801;8.9;1;2;3;1;0;;2;0
23;Tosin Adarabioyo;eng ENG;DF;Fulham;eng Premier League;25;1997;20;18;1617;18.0;2;0;2;2;0;;2;0
24;Elijah Adebayo;eng ENG;FW;Luton Town;eng Premier League;25;1998;27;16;1419;15.8;10;0;10;10;0;;1;0
25;Karim Adeyemi;de GER;FW,MF;Dortmund;de Bundesliga;21;2002;21;10;913;10.1;3;1;4;3;0;;6;1
26;Simon Adingra;ci CIV;FW;Brighton;eng Premier League;21;2002;31;25;2222;24.7;6;1;7;6;0;;3;0
27;Nathaniel Adjei;gh GHA;DF;Lorient;fr Ligue 1;20;2002;15;14;1243;13.8;0;0;0;0;0;;2;0
28;Amine Adli;ma MAR;MF,FW;Leverkusen;de Bundesliga;23;2000;23;8;898;10.0;4;6;10;4;0;;5;0
29;Yacine Adli;fr FRA;MF;Milan;it Serie A;23;2000;24;17;1407;15.6;1;2;3;1;0;;3;0
30;Adryelson;br BRA;DF,FW;Lyon;fr Ligue 1;25;1998;2;0;6;0.1;0;0;0;0;0;;0;0
31;Adson;br BRA;MF,FW;Nantes;fr Ligue 1;22;2000;8;2;238;2.6;0;0;0;0;0;;0;0
32;Michel Aebischer;ch SUI;MF;Bologna;it Serie A;26;1997;36;26;2230;24.8;0;1;1;0;0;;8;0
33;Emmanuel Agbadou;ci CIV;DF;Reims;fr Ligue 1;26;1997;32;29;2596;28.8;1;1;2;1;0;;1;0
34;Julen Agirrezabala;es ESP;GK;Athletic Club;es La Liga;22;2000;4;2;238;2.6;0;0;0;0;0;;0;0
35;Lucien Agoume;fr FRA;MF;Inter;it Serie A;21;2002;1;0;5;0.1;0;0;0;0;0;;0;0
36;Lucien Agoume;fr FRA;MF;Sevilla;es La Liga;21;2002;12;9;777;8.6;0;0;0;0;0;;3;0
37;Felix Agu;de GER;DF,MF;Werder Bremen;de Bundesliga;23;1999;24;19;1614;17.9;0;0;0;0;0;;2;0
38;Nayef Aguerd;ma MAR;DF;West Ham;eng Premier League;27;1996;21;21;1857;20.6;1;0;1;1;0;;3;1
39;Ruben Aguilar;fr FRA;DF;Lens;fr Ligue 1;30;1993;25;22;1922;21.4;1;3;4;1;0;;3;0
40;Brandon Aguilera;cr CRC;FW;Nott'ham Forest;eng Premier League;20;2003;1;0;5;0.1;0;0;0;0;0;;0;0
41;Naouirou Ahamada;fr FRA;MF,FW;Crystal Palace;eng Premier League;21;2002;20;0;349;3.9;0;0;0;0;0;;4;1
42;Anel Ahmedhodžić;ba BIH;DF;Sheffield Utd;eng Premier League;24;1999;31;29;2649;29.4;2;0;2;2;0;;11;1
43;Joseph Aidoo;gh GHA;DF;Celta Vigo;es La Liga;27;1995;6;4;407;4.5;0;0;0;0;0;;0;0
44;Ola Aina;ng NGA;DF;Nott'ham Forest;eng Premier League;26;1996;22;20;1692;18.8;1;1;2;1;0;;3;0
45;Rayan Aït-Nouri;dz ALG;DF,MF;Wolves;eng Premier League;22;2001;33;29;2329;25.9;2;1;3;2;0;;7;0
46;Tosin Aiyegun;bj BEN;MF,FW;Lorient;fr Ligue 1;25;1998;19;10;902;10.0;2;0;2;2;0;;0;1
47;Kristoffer Ajer;no NOR;DF;Brentford;eng Premier League;25;1998;28;21;1832;20.4;2;1;3;2;0;;5;0
48;Ludovic Ajorque;fr FRA;FW;Mainz 05;de Bundesliga;29;1994;26;15;1360;15.1;2;0;2;2;0;;4;0
49;Manuel Akanji;ch SUI;DF,MF;Manchester City;eng Premier League;28;1995;30;28;2511;27.9;2;0;2;2;0;;4;1
50;Marley Aké;fr FRA;FW;Udinese;it Serie A;22;2001;1;0;10;0.1;0;0;0;0;0;;0;0
51;Nathan Aké;nl NED;DF;Manchester City;eng Premier League;28;1995;29;24;2042;22.7;2;2;4;2;0;;0;0
52;Ilias Akhomach;ma MAR;MF,FW;Villarreal;es La Liga;19;2004;31;17;1511;16.8;2;2;4;2;0;;4;0
53;Sergio Akieme;es ESP;DF;Almería;es La Liga;25;1997;19;19;1675;18.6;2;0;2;2;0;;2;0
54;Sergio Akieme;es ESP;DF;Reims;fr Ligue 1;25;1997;13;8;818;9.1;2;0;2;2;0;;2;0
55;Ebenezer Akinsanmiro;ng NGA;MF;Inter;it Serie A;18;2004;1;0;15;0.2;0;0;0;0;0;;0;0
56;Maghnes Akliouche;fr FRA;MF,FW;Monaco;fr Ligue 1;21;2002;28;18;1613;17.9;7;4;11;7;0;;5;0
57;Paul Akouokou;ci CIV;MF;Betis;es La Liga;25;1997;2;0;27;0.3;0;0;0;0;0;;0;0
58;Paul Akouokou;ci CIV;MF;Lyon;fr Ligue 1;25;1997;8;4;307;3.4;0;0;0;0;0;;1;0
59;Jean-Daniel Akpa-Akpro;ci CIV;MF;Monza;it Serie A;30;1992;19;8;705;7.8;0;0;0;0;0;;5;0
60;David Akpan Ankeye;ng NGA;FW;Genoa;it Serie A;21;2002;6;0;57;0.6;0;0;0;0;0;;0;0
61;Kevin Akpoguma;ng NGA;DF;Hoffenheim;de Bundesliga;28;1995;17;11;1097;12.2;0;0;0;0;0;;7;0
62;David Alaba;at AUT;DF;Real Madrid;es La Liga;31;1992;14;14;1154;12.8;0;1;1;0;0;;2;0
63;Luis Alberto;es ESP;MF;Lazio;it Serie A;30;1992;33;29;2311;25.7;5;7;12;5;0;;7;0
64;Raúl Albiol;es ESP;DF;Villarreal;es La Liga;37;1985;26;24;2031;22.6;0;1;1;0;0;;6;0
65;Thiago Alcántara;es ESP;MF;Liverpool;eng Premier League;32;1991;1;0;6;0.1;0;0;0;0;0;;0;0
66;Carlos Alcaraz;ar ARG;MF;Juventus;it Serie A;20;2002;10;3;380;4.2;0;1;1;0;0;;0;0
67;Rubén Alcaraz;es ESP;MF;Cádiz;es La Liga;32;1991;36;36;3134;34.8;3;1;4;1;2;;14;0
68;Omar Alderete;py PAR;DF;Getafe;es La Liga;26;1996;31;24;2195;24.4;0;1;1;0;0;;8;1
69;Iván Alejo;es ESP;MF;Cádiz;es La Liga;28;1995;30;21;1692;18.8;0;2;2;0;0;;17;0
70;Carles Aleñá;es ESP;MF;Getafe;es La Liga;25;1998;29;10;1020;11.3;1;1;2;1;0;;6;0
71;Trent Alexander-Arnold;eng ENG;DF;Liverpool;eng Premier League;24;1998;28;25;2155;23.9;3;4;7;3;0;;6;0
72;Aboubacar Ali;fr FRA;MF,FW;Strasbourg;fr Ligue 1;17;2006;9;1;130;1.4;0;1;1;0;0;;0;0
73;Mohamed Ali Cho;fr FRA;FW,MF;Real Sociedad;es La Liga;19;2004;11;1;249;2.8;0;0;0;0;0;;0;0
74;Mohamed Ali Cho;fr FRA;FW;Nice;fr Ligue 1;19;2004;17;11;861;9.6;1;2;3;1;0;;2;0
75;Faride Alidou;de GER;FW,MF;Köln;de Bundesliga;22;2001;26;14;1282;14.2;4;0;4;4;0;;4;0
76;Nabil Alioui;fr FRA;MF,FW;Le Havre;fr Ligue 1;24;1999;18;12;1009;11.2;4;1;5;4;0;;1;0
77;Alisson;br BRA;GK;Liverpool;eng Premier League;30;1992;28;28;2520;28.0;0;0;0;0;0;;1;0
78;Tadeo Allende;ar ARG;MF,FW;Celta Vigo;es La Liga;24;1999;10;2;336;3.7;1;0;1;1;0;;1;0
79;Jim Allevinah;ga GAB;MF,DF;Clermont Foot;fr Ligue 1;28;1995;29;22;1861;20.7;2;1;3;2;0;;1;0
80;Domingos André Ribeiro Almeida;pt POR;FW,MF;Valencia;es La Liga;23;2000;18;12;965;10.7;2;1;3;2;0;;0;0
81;Miguel Almirón;py PAR;FW;Newcastle Utd;eng Premier League;29;1994;33;23;1937;21.5;3;1;4;3;0;;2;0
82;Pontus Almqvist;se SWE;FW,MF;Lecce;it Serie A;24;1999;30;25;2107;23.4;2;1;3;2;0;;5;0
83;Marcos Alonso;es ESP;DF;Barcelona;es La Liga;32;1990;5;3;252;2.8;0;0;0;0;0;;0;0
84;Adrià Altimira;es ESP;DF,MF;Villarreal;es La Liga;22;2001;11;10;775;8.6;0;0;0;0;0;;3;0
85;Sergi Altimira;es ESP;MF;Betis;es La Liga;21;2001;14;6;568;6.3;1;0;1;1;0;;1;0
86;Edson Álvarez;mx MEX;MF;West Ham;eng Premier League;25;1997;31;28;2377;26.4;1;1;2;1;0;;11;0
87;Gastón Álvarez;uy URU;DF;Getafe;es La Liga;23;2000;34;29;2537;28.2;2;0;2;2;0;;7;0
88;Hugo Álvarez;es ESP;MF,DF;Celta Vigo;es La Liga;20;2003;12;8;762;8.5;1;1;2;1;0;;1;0
89;Julián Álvarez;ar ARG;MF,FW;Manchester City;eng Premier League;23;2000;36;31;2647;29.4;11;8;19;9;2;;2;0
90;Yeray Álvarez;es ESP;DF;Athletic Club;es La Liga;28;1995;19;14;1152;12.8;0;0;0;0;0;;1;1
91;Skelly Alvero;fr FRA;MF;Lyon;fr Ligue 1;21;2002;8;6;426;4.7;1;0;1;1;0;;2;0
92;Skelly Alvero;fr FRA;MF;Werder Bremen;de Bundesliga;21;2002;6;1;123;1.4;1;0;1;1;0;;1;0
93;Papa Amadou Diallo;sn SEN;FW;Metz;fr Ligue 1;19;2004;16;9;889;9.9;2;1;3;2;0;;1;0
94;Selim Amallah;ma MAR;FW,MF;Valencia;es La Liga;26;1996;20;7;604;6.7;0;1;1;0;0;;5;1
95;Amath;sn SEN;FW,MF;Mallorca;es La Liga;27;1996;15;3;394;4.4;0;0;0;0;0;;2;0
96;Lorenzo Amatucci;it ITA;MF;Fiorentina;it Serie A;19;2004;2;0;22;0.2;0;0;0;0;0;;0;0
97;Jordan Amavi;fr FRA;DF;Brest;fr Ligue 1;29;1994;2;1;91;1.0;1;0;1;1;0;;1;0
98;Zeki Amdouni;ch SUI;FW;Burnley;eng Premier League;22;2000;34;27;1953;21.7;5;1;6;4;1;;2;0
99;Kelvin Amian;fr FRA;DF;Nantes;fr Ligue 1;25;1998;12;11;798;8.9;0;1;1;0;0;;2;0
100;Bruno Amione;ar ARG;DF;Hellas Verona;it Serie A;21;2002;10;7;579;6.4;0;0;0;0;0;;2;0
101;Michael Amir Murillo;pa PAN;DF;Marseille;fr Ligue 1;27;1996;16;10;997;11.1;3;2;5;3;0;;3;0
102;Nadiem Amiri;de GER;MF;Mainz 05;de Bundesliga;26;1996;15;15;1315;14.6;1;4;5;1;0;;5;0
103;Nadiem Amiri;de GER;MF;Leverkusen;de Bundesliga;26;1996;8;1;86;1.0;0;0;0;0;0;;0;0
104;Kofi Amoako;de GER;MF;Wolfsburg;de Bundesliga;18;2005;2;0;2;0.0;0;0;0;0;0;;0;0
105;Sofyan Amrabat;ma MAR;MF,DF;Manchester Utd;eng Premier League;26;1996;21;10;938;10.4;0;0;0;0;0;;6;0
106;Joachim Andersen;dk DEN;DF;Crystal Palace;eng Premier League;27;1996;38;38;3415;37.9;2;3;5;2;0;;7;0
107;Elliot Anderson;sct SCO;MF,FW;Newcastle Utd;eng Premier League;20;2002;21;10;1027;11.4;0;2;2;0;0;;3;0
108;Felipe Anderson;br BRA;FW,MF;Lazio;it Serie A;30;1993;38;33;2770;30.8;5;6;11;5;0;;3;0
109;Benjamin André;fr FRA;MF;Lille;fr Ligue 1;32;1990;30;29;2570;28.6;4;0;4;4;0;;8;0
110;Komnen Andrić;rs SRB;FW;Clermont Foot;fr Ligue 1;28;1995;7;1;169;1.9;0;0;0;0;0;;0;0
111;Robert Andrich;de GER;MF,DF;Leverkusen;de Bundesliga;28;1994;28;18;1690;18.8;4;2;6;4;0;;4;0
112;Miguel Ángel Rubio;es ESP;DF;Granada;es La Liga;25;1998;19;17;1560;17.3;1;0;1;1;0;;5;0
113;Angeliño;es ESP;DF;Roma;it Serie A;26;1997;16;14;1141;12.7;0;1;1;0;0;;2;0
114;Fabrizio Angileri;ar ARG;DF,MF;Getafe;es La Liga;29;1994;11;2;164;1.8;0;0;0;0;0;;2;1
115;Jaidon Anthony;eng ENG;FW;Bournemouth;eng Premier League;23;1999;3;2;152;1.7;0;0;0;0;0;;1;0
116;Waldemar Anton;de GER;DF;Stuttgart;de Bundesliga;27;1996;33;32;2886;32.1;0;3;3;0;0;;7;0
117;Michail Antonio;jm JAM;FW;West Ham;eng Premier League;33;1990;26;21;1695;18.8;6;2;8;6;0;;6;0
118;Antony;br BRA;FW;Manchester Utd;eng Premier League;23;2000;29;15;1324;14.7;1;1;2;1;0;;5;0
119;Christopher Antwi-Adjei;gh GHA;FW,MF;Bochum;de Bundesliga;29;1994;25;11;1216;13.5;2;2;4;2;0;;5;0
120;Houssem Aouar;dz ALG;MF,FW;Roma;it Serie A;25;1998;16;9;756;8.4;4;0;4;4;0;;3;0
121;Stredair Appuah;fr FRA;FW,MF;Nantes;fr Ligue 1;19;2004;4;0;84;0.9;0;0;0;0;0;;0;0
122;Mauro Arambarri;uy URU;MF;Getafe;es La Liga;27;1995;7;3;339;3.8;0;0;0;0;0;;2;0
123;Jon Aramburu;ve VEN;DF;Real Sociedad;es La Liga;21;2002;11;5;543;6.0;0;0;0;0;0;;3;0
124;Asaf Arania;il ISR;MF;Darmstadt 98;de Bundesliga;17;2005;1;0;6;0.1;0;0;0;0;0;;0;0
125;Julian Araujo;mx MEX;DF;Las Palmas;es La Liga;21;2001;25;15;1462;16.2;1;0;1;1;0;;5;0
126;Ronald Araújo;uy URU;DF;Barcelona;es La Liga;24;1999;25;21;1997;22.2;1;2;3;1;0;;6;0
127;Oliver Arblaster;eng ENG;MF;Sheffield Utd;eng Premier League;19;2004;12;11;943;10.5;0;0;0;0;0;;2;0
128;Cameron Archer;eng ENG;FW,MF;Sheffield Utd;eng Premier League;22;2001;29;21;1832;20.4;4;1;5;4;0;;1;0
129;Cameron Archer;eng ENG;MF;Aston Villa;eng Premier League;22;2001;1;0;6;0.1;0;0;0;0;0;;1;0
130;Alphonse Areola;fr FRA;GK;West Ham;eng Premier League;30;1993;31;31;2699;30.0;0;0;0;0;0;;1;0
131;Adu Ares;es ESP;FW;Athletic Club;es La Liga;21;2001;12;2;265;2.9;0;0;0;0;0;;2;0
132;Jesús Areso;es ESP;DF;Osasuna;es La Liga;24;1999;37;29;2660;29.6;1;6;7;1;0;;3;0
133;Simone Aresti;it ITA;GK;Cagliari;it Serie A;37;1986;1;0;1;0.0;0;0;0;0;0;;0;0
134;Matias Arezo;uy URU;FW;Granada;es La Liga;20;2002;14;3;369;4.1;0;0;0;0;0;;1;0
135;Iñigo Arguibide;es ESP;DF;Osasuna;es La Liga;18;2005;1;0;17;0.2;0;0;0;0;0;;0;0
136;Yoël Armougom;fr FRA;DF,MF;Clermont Foot;fr Ligue 1;25;1998;5;2;234;2.6;0;0;0;0;0;;1;0
137;José Arnaiz;es ESP;FW,MF;Osasuna;es La Liga;28;1995;26;9;929;10.3;2;1;3;2;0;;3;0
138;Hákon Arnar Haraldsson;is ISL;FW,MF;Lille;fr Ligue 1;20;2003;26;15;1284;14.3;2;0;2;2;0;;5;0
139;Marko Arnautović;at AUT;FW;Inter;it Serie A;34;1989;27;5;801;8.9;5;3;8;5;0;;0;0
140;Maximilian Arnold;de GER;MF;Wolfsburg;de Bundesliga;29;1994;30;27;2506;27.8;2;1;3;2;0;;9;0
141;Mohamed El Arouch;fr FRA;FW;Lyon;fr Ligue 1;19;2004;1;0;2;0.0;0;0;0;0;0;;0;0
142;Sergio Arribas;es ESP;MF,FW;Almería;es La Liga;21;2001;34;22;2047;22.7;9;4;13;9;0;;1;0
143;Kepa Arrizabalaga;es ESP;GK;Real Madrid;es La Liga;28;1994;14;13;1198;13.3;0;0;0;0;0;;1;0
144;Arthur;br BRA;DF;Leverkusen;de Bundesliga;20;2003;4;2;184;2.0;0;2;2;0;0;;0;0
145;Takuma Asano;jp JPN;FW,MF;Bochum;de Bundesliga;28;1994;29;26;1986;22.1;6;1;7;6;0;;2;0
146;Marco Asensio;es ESP;MF,FW;Paris S-G;fr Ligue 1;27;1996;19;13;1113;12.4;4;5;9;4;0;;0;0
147;Kristjan Asllani;al ALB;MF;Inter;it Serie A;21;2002;23;6;787;8.7;1;2;3;1;0;;1;0
148;Joel Asoro;se SWE;FW,MF;Metz;fr Ligue 1;24;1999;20;10;848;9.4;2;1;3;2;0;;2;0
149;Jonathan Asp Jensen;dk DEN;FW;Bayern Munich;de Bundesliga;17;2006;1;0;1;0.0;0;0;0;0;0;;0;0
150;Iago Aspas;es ESP;FW;Celta Vigo;es La Liga;35;1987;35;31;2707;30.1;9;10;19;6;3;;6;1
151;Lorenz Assignon;tg TOG;DF;Burnley;eng Premier League;23;2000;15;15;1234;13.7;1;2;3;1;0;;5;1
152;Lorenz Assignon;tg TOG;DF;Rennes;fr Ligue 1;23;2000;14;12;1011;11.2;1;1;2;1;0;;4;0
153;Youcef Atal;dz ALG;DF;Nice;fr Ligue 1;27;1996;6;5;359;4.0;1;0;1;1;0;;2;0
154;Valentin Atangana Edoa;fr FRA;MF;Reims;fr Ligue 1;17;2005;15;7;555;6.2;0;0;0;0;0;;0;0
155;Arthur Atta;fr FRA;MF,FW;Metz;fr Ligue 1;20;2003;21;10;924;10.3;1;2;3;1;0;;0;0
156;Noah Atubolu;de GER;GK;Freiburg;de Bundesliga;21;2002;34;34;3060;34.0;0;0;0;0;0;;0;0
157;Pierre-Emerick Aubameyang;ga GAB;FW;Marseille;fr Ligue 1;34;1989;34;30;2622;29.1;17;8;25;13;4;;4;0
158;Emil Audero;it ITA;GK;Inter;it Serie A;26;1997;4;4;337;3.7;0;0;0;0;0;;0;0
159;Tommaso Augello;it ITA;DF;Cagliari;it Serie A;28;1994;32;28;2418;26.9;1;1;2;1;0;;5;0
160;Carlos Augusto;br BRA;DF;Inter;it Serie A;24;1999;37;14;1725;19.2;0;3;3;0;0;;1;0
161;Yann Aurel Bisseck;de GER;DF;Inter;it Serie A;22;2000;16;9;904;10.0;2;0;2;2;0;;0;0
162;Serge Aurier;ci CIV;DF,MF;Nott'ham Forest;eng Premier League;30;1992;12;10;833;9.3;0;2;2;0;0;;2;0
163;Ezequiel Ávila;ar ARG;FW,MF;Osasuna;es La Liga;29;1994;17;10;864;9.6;1;3;4;1;0;;3;2
164;Ezequiel Ávila;ar ARG;FW;Betis;es La Liga;29;1994;6;4;298;3.3;1;0;1;1;0;;4;1
165;Taiwo Awoniyi;ng NGA;FW;Nott'ham Forest;eng Premier League;25;1997;20;12;1042;11.6;6;3;9;6;0;;2;0
166;André Ayew;gh GHA;FW;Le Havre;fr Ligue 1;33;1989;19;12;1104;12.3;5;0;5;5;0;;2;1
167;Jordan Ayew;gh GHA;FW,MF;Crystal Palace;eng Premier League;31;1991;35;30;2543;28.3;4;7;11;4;0;;9;1
168;Neil El Aynaoui;fr FRA;MF;Lens;fr Ligue 1;22;2001;25;17;1566;17.4;1;2;3;1;0;;1;0
169;Sardar Azmoun;ir IRN;FW,MF;Roma;it Serie A;28;1995;23;3;585;6.5;3;0;3;3;0;;4;0
170;César Azpilicueta;es ESP;DF;Atlético Madrid;es La Liga;33;1989;25;14;1423;15.8;0;2;2;0;0;;4;0
171;Paulo Azzi;br BRA;DF,MF;Cagliari;it Serie A;29;1994;25;9;950;10.6;0;0;0;0;0;;1;0
172;Oussama El Azzouzi;ma MAR;MF;Bologna;it Serie A;22;2001;18;5;547;6.1;2;2;4;2;0;;4;0
173;Abdellah Baallal;ma MAR;MF;Clermont Foot;fr Ligue 1;18;2004;1;0;4;0.0;0;0;0;0;0;;0;0
174;Iddrisu Baba;gh GHA;MF;Almería;es La Liga;27;1996;25;14;1430;15.9;0;0;0;0;0;;5;0
175;Srđan Babić;rs SRB;DF;Almería;es La Liga;27;1996;1;1;90;1.0;0;0;0;0;0;;0;0
176;Shavy Babicka;ga GAB;FW,MF;Toulouse;fr Ligue 1;23;2000;12;4;373;4.1;1;0;1;1;0;;0;0
177;Loïc Bade;fr FRA;DF;Sevilla;es La Liga;23;2000;28;27;2277;25.3;0;1;1;0;0;;5;1
178;Milan Badelj;hr CRO;MF;Genoa;it Serie A;34;1989;33;32;2535;28.2;1;3;4;1;0;;6;0
179;Matthias Bader;de GER;DF,MF;Darmstadt 98;de Bundesliga;26;1997;24;21;1802;20.0;1;2;3;1;0;;1;0
180;Benoît Badiashile;fr FRA;DF;Chelsea;eng Premier League;22;2001;18;15;1338;14.9;0;1;1;0;0;;3;0
181;Alex Baena;es ESP;MF,FW;Villarreal;es La Liga;22;2001;34;33;2579;28.7;2;14;16;2;0;;11;1
182;Jaime Báez;uy URU;FW,MF;Frosinone;it Serie A;28;1995;11;6;500;5.6;1;0;1;1;0;;1;0
183;Nicola Bagnolini;it ITA;GK;Bologna;it Serie A;19;2004;1;0;5;0.1;0;0;0;0;0;;0;0
184;Leon Bailey;jm JAM;MF,FW;Aston Villa;eng Premier League;25;1997;35;22;2068;23.0;10;9;19;10;0;;5;0
185;Eric Bailly;ci CIV;DF;Villarreal;es La Liga;29;1994;10;9;839;9.3;0;0;0;0;0;;4;0
186;Stefan Bajcetic;es ESP;MF;Liverpool;eng Premier League;18;2004;1;0;26;0.3;0;0;0;0;0;;0;0
187;Nedim Bajrami;al ALB;MF,FW;Sassuolo;it Serie A;24;1999;28;15;1310;14.6;2;2;4;2;0;;0;0
188;Cédric Bakambu;cd COD;FW;Betis;es La Liga;32;1991;4;2;194;2.2;0;0;0;0;0;;1;0
189;Tiemoué Bakayoko;fr FRA;MF;Lorient;fr Ligue 1;28;1994;20;15;1314;14.6;2;1;3;2;0;;5;0
190;Mitchel Bakker;nl NED;DF;Atalanta;it Serie A;23;2000;14;3;382;4.2;1;0;1;1;0;;1;0
191;Ridle Baku;de GER;DF,MF;Wolfsburg;de Bundesliga;25;1998;33;22;2013;22.4;1;0;1;1;0;;4;0
192;Dilane Bakwa;fr FRA;FW,MF;Strasbourg;fr Ligue 1;20;2002;31;25;2177;24.2;3;6;9;3;0;;4;1
193;Tommaso Baldanzi;it ITA;MF,FW;Empoli;it Serie A;20;2003;14;8;745;8.3;2;0;2;2;0;;1;0
194;Tommaso Baldanzi;it ITA;FW,MF;Roma;it Serie A;20;2003;13;6;518;5.8;0;0;0;0;0;;2;0
195;Alejandro Balde;es ESP;DF;Barcelona;es La Liga;19;2003;18;15;1378;15.3;0;1;1;0;0;;1;0
196;Aliou Baldé;gn GUI;FW,DF;Nice;fr Ligue 1;20;2002;7;0;69;0.8;0;0;0;0;0;;0;0
197;George Baldock;gr GRE;DF;Sheffield Utd;eng Premier League;30;1993;13;11;969;10.8;0;1;1;0;0;;4;0
198;Carlos Baleba;cm CMR;MF;Brighton;eng Premier League;19;2004;27;15;1325;14.7;0;0;0;0;0;;7;0
199;Carlos Baleba;cm CMR;MF;Lille;fr Ligue 1;19;2004;2;1;61;0.7;0;0;0;0;0;;0;0
200;Leonardo Balerdi;ar ARG;DF;Marseille;fr Ligue 1;24;1999;27;26;2271;25.2;2;0;2;2;0;;6;1
201;Iván Balliu;al ALB;DF;Rayo Vallecano;es La Liga;31;1992;33;32;2873;31.9;0;1;1;0;0;;4;0
202;Fodé Ballo-Touré;sn SEN;DF,MF;Fulham;eng Premier League;26;1997;6;0;71;0.8;0;0;0;0;0;;1;0
203;Folarin Balogun;us USA;FW;Monaco;fr Ligue 1;22;2001;29;19;1692;18.8;7;5;12;7;0;;1;0
204;Jonathan Bamba;ci CIV;MF,FW;Celta Vigo;es La Liga;27;1996;27;24;1981;22.0;3;2;5;3;0;;0;0
205;Mohamed Bamba;ci CIV;FW;Lorient;fr Ligue 1;21;2001;16;14;1138;12.6;8;3;11;7;1;;3;0
206;Samuel Bamba;de GER;FW;Dortmund;de Bundesliga;19;2004;2;0;47;0.5;0;0;0;0;0;;0;0
207;Lameck Banda;zm ZAM;FW;Lecce;it Serie A;22;2001;21;17;1350;15.0;2;4;6;2;0;;5;1
208;Daniel Bandeira;pt POR;MF;Hellas Verona;it Serie A;23;2000;14;3;446;5.0;0;0;0;0;0;;2;0
209;Mamady Bangré;bf BFA;FW,MF;Toulouse;fr Ligue 1;22;2001;8;0;101;1.1;0;1;1;0;0;;2;0
210;Mattia Bani;it ITA;DF;Genoa;it Serie A;29;1993;27;27;2306;25.6;2;0;2;2;0;;9;0
211;Léo Baptistão;br BRA;FW;Almería;es La Liga;30;1992;32;22;1837;20.4;6;0;6;6;0;;6;1
212;Shandon Baptiste;gd GRN;MF;Brentford;eng Premier League;25;1998;10;2;229;2.5;1;1;2;1;0;;1;0
213;Antonín Barák;cz CZE;MF,FW;Fiorentina;it Serie A;28;1994;21;8;808;9.0;2;3;5;2;0;;2;0
214;Valentín Barco;ar ARG;DF,FW;Brighton;eng Premier League;19;2004;6;3;307;3.4;0;0;0;0;0;;1;0
215;Bradley Barcola;fr FRA;FW;Lyon;fr Ligue 1;20;2002;3;3;270;3.0;0;0;0;0;0;;1;0
