Rk;Player;Nacionalidad;Posicion;Equipo;Competicion;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;;CrdY;CrdR
752;Patrick Dorgu;dk DEN;DF,MF;Lecce;it Serie A;18;2004;32;17;1564;17.4;2;0;2;2;0;;6;0
753;Niklas Dorsch;de GER;MF;Augsburg;de Bundesliga;25;1998;21;16;1386;15.4;0;0;0;0;0;;5;0
754;Alberto Dossena;it ITA;DF;Cagliari;it Serie A;24;1998;35;33;2977;33.1;2;4;6;2;0;;5;0
755;Carlos Dotor;es ESP;MF;Celta Vigo;es La Liga;22;2001;17;7;708;7.9;0;0;0;0;0;;2;0
756;Abdoulaye Doucouré;ml MLI;FW,MF;Everton;eng Premier League;30;1993;32;32;2629;29.2;7;1;8;7;0;;7;0
757;Cheick Doucouré;ml MLI;MF;Crystal Palace;eng Premier League;23;2000;11;11;919;10.2;0;0;0;0;0;;2;0
758;Siriné Doucouré;ml MLI;FW;Lorient;fr Ligue 1;21;2002;11;5;423;4.7;1;3;4;1;0;;2;0
759;Désiré Doué;fr FRA;MF,FW;Rennes;fr Ligue 1;18;2005;31;17;1626;18.1;4;4;8;4;0;;3;0
760;Guela Doué;ci CIV;DF;Rennes;fr Ligue 1;20;2002;24;13;1234;13.7;0;2;2;0;0;;1;1
761;Alfie Doughty;eng ENG;DF;Luton Town;eng Premier League;23;1999;37;34;2925;32.5;2;8;10;2;0;;5;0
762;Douglas;br BRA;MF;Nantes;fr Ligue 1;26;1997;25;22;1772;19.7;0;0;0;0;0;;7;0
763;Ismaël Doukouré;fr FRA;MF,DF;Strasbourg;fr Ligue 1;20;2003;22;19;1656;18.4;0;0;0;0;0;;4;0
764;Kamory Doumbia;ml MLI;MF;Brest;fr Ligue 1;20;2003;25;7;879;9.8;6;5;11;6;0;;1;0
765;Anastasios Douvikas;gr GRE;FW;Celta Vigo;es La Liga;23;1999;32;7;905;10.1;7;1;8;7;0;;2;0
766;Artem Dovbyk;ua UKR;FW;Girona;es La Liga;26;1997;36;32;2587;28.7;24;8;32;17;7;;2;0
767;Nikola Dovedan;at AUT;MF,FW;Heidenheim;de Bundesliga;29;1994;21;5;656;7.3;3;1;4;3;0;;0;1
768;Damion Downs;us USA;FW,MF;Köln;de Bundesliga;19;2004;10;0;181;2.0;2;0;2;2;0;;0;0
769;Tommy Doyle;eng ENG;MF;Wolves;eng Premier League;21;2001;26;11;1222;13.6;0;0;0;0;0;;2;0
770;Radu Drăgușin;ro ROU;DF;Tottenham;eng Premier League;21;2002;9;4;429;4.8;0;0;0;0;0;;1;0
